Time	Nup107-Mean	Nup107-STD	Nup93-Mean	Nup93-STD	Nup205-Mean	Nup205-STD	Nup62-Mean	Nup62-STD	SEH1-MEAN	SEH1-STD	Nup188-Mean	Nup188-STD
49	30.64066089	2.10621281	45.48812502	3.359115147	15.83384785	2.635211312	47.21148853	5.334791391	27.97529106	3.154192757	16.77473209	1.30083408
49.5	31.75571925	2.210279304	45.98955955	2.735183206	15.57396679	2.90908738	46.74149968	5.733157892	28.33779327	2.541276855	16.39699095	1.712512442
50	31.44791821	3.789637526	46.40836763	3.615458596	15.78330074	3.335040308	47.68649052	5.500558098	29.42381782	3.1098751	16.30955241	2.035728015
50.5	31.54113266	2.20660302	46.00875291	3.235474057	16.19250015	2.439875989	47.24423939	4.965285586	29.0094257	2.735133488	16.47423737	1.920643183
51	31.56271853	2.503151668	46.31453564	3.56010869	15.82524838	1.956597216	46.79877215	5.025179809	28.48677533	2.413018419	16.76463351	1.400675164
51.5	32.66696893	3.271091334	46.6520259	2.623466637	15.86818027	3.509306229	47.13436073	5.957561265	29.58433586	2.441689645	16.58992386	2.020225109
52	31.29725418	2.754878381	46.81332535	2.37384004	15.87216849	2.712612049	46.97438502	5.609551818	28.64720954	2.866125582	15.88558548	2.250316738
52.5	31.88797778	2.825513876	46.71822774	3.574581922	15.96436792	2.308723513	47.61703874	5.500661421	28.38945873	2.693033542	16.4195045	1.527083403
53	30.66316706	2.394699113	45.09883363	3.515498623	16.47930523	2.743538646	47.30916209	6.069200213	29.58370757	2.360773399	16.56883395	2.006605233
53.5	31.31865207	2.607000787	46.41894249	4.268928245	16.41663858	2.886192778	48.6549458	6.15714504	28.71093513	3.19670684	16.02876935	1.597996417
54	31.22768747	3.187076517	46.29263486	4.081092412	16.67966315	2.524283592	47.96799715	5.305864388	29.96672766	2.864279566	16.73507805	1.552172885
54.5	31.30381853	3.79113367	46.62287636	4.461933734	15.92949275	2.901280368	46.61499763	5.939761581	29.12648199	2.977563066	15.79959608	1.682393691
55	31.84356359	2.940164221	47.00760563	4.191135521	15.59574359	3.869160935	47.09181595	5.511796328	29.24045805	2.675396087	15.93305436	1.746742326
55.5	31.78506938	3.141252978	46.60156404	4.655036967	15.15466635	3.149633317	47.56330758	5.268510336	28.57116374	3.359165189	16.80436974	1.534164123
56	29.68175342	2.459495537	47.38774047	3.820342947	15.64126456	3.065616711	46.69933443	5.867743263	28.73742175	2.354122284	16.50226415	1.462068926
56.5	31.3255352	2.337282791	45.98693569	2.189747749	15.39655119	3.415078026	46.59020751	4.719021581	29.01284208	2.917658361	16.24687964	1.783268601
57	32.15030651	2.66765893	46.63925429	3.345229021	15.05331149	2.84676476	45.85460904	5.227393659	28.80265284	2.052192324	16.52288098	1.368507033
57.5	32.43578838	3.032940521	46.18484219	2.791444983	15.6774308	2.723698504	46.6817496	5.89765097	29.7489994	3.263906359	15.66948103	1.921180915
58	31.29327697	2.85460201	46.38999157	2.852253567	15.34319998	2.691367408	46.47432383	4.190584378	29.14875384	2.852416822	16.34249896	1.426863726
58.5	31.89571137	2.219100968	46.61270109	3.003014199	15.94665874	2.957120828	47.27136801	4.042129332	29.00730409	2.236256879	16.57566331	1.774419009
59	31.07056626	2.424345173	46.92589878	2.621361367	15.80175453	2.152887374	47.2674743	3.972032771	29.63371609	1.695844106	16.17310648	1.519978465
59.5	31.54216328	2.880191123	47.18355779	2.249580746	16.33814595	2.542107398	48.12168749	4.048796928	29.45668137	2.305178128	16.68152924	1.640040961
60	31.80480976	3.143341526	46.42607894	3.804898068	16.05294581	1.838944186	47.33161384	2.980058357	29.34610866	2.234706784	15.88212782	1.474419903
60.5	32.02924719	1.68346037	46.52254979	4.216283847	16.43665851	2.841956905	47.2539259	4.590248307	29.84355346	2.057652215	17.60215559	1.201029491
61	31.60028034	3.29914677	47.26317107	3.498309342	16.17357177	2.692868361	46.18265494	3.70089515	30.69525044	1.953228485	16.48927043	2.170801522
61.5	31.77218423	3.107201608	46.74642343	3.172662402	16.0246903	2.307462125	47.19635148	4.134541055	29.26948143	2.864203484	16.84628148	1.552184012
62	31.09642524	2.054251729	47.76747936	4.02782078	16.50207434	2.823884153	47.07776888	3.878589435	29.38901313	2.509545358	16.49694675	2.229820454
