,time_min,Pom121,Nup153,Nup107,Seh1,Nup205,Nup93,Nup62,Nup214,TPR,Nup358
176,88.0,22.78250401398807,29.751545970968504,32.236804617173405,29.464008101843,16.753516531245634,46.48177352005033,46.663864771340975,18.702085411759317,19.545717437478014,10.362130121371141
177,88.5,22.78250401398807,29.751545970968504,32.236804617173405,29.464008101843,16.753516531245634,46.48177352005033,46.663864771340975,18.702085411759317,19.545717437478014,10.373037626762057
178,89.0,22.78250401398807,29.751545970968504,32.26907369086427,29.464008101843,16.753516531245634,46.48177352005033,46.663864771340975,18.702085411759317,19.545717437478014,10.383945132152974
179,89.5,22.78250401398807,29.751545970968504,32.26907369086427,29.464008101843,16.753516531245634,46.48177352005033,46.663864771340975,18.702085411759317,19.545717437478014,10.383945132152974
180,90.0,22.78250401398807,29.751545970968504,32.26907369086427,29.464008101843,16.753516531245634,46.48177352005033,46.663864771340975,18.702085411759317,19.545717437478014,10.394852637543892
181,90.5,22.78250401398807,29.751545970968504,32.26907369086427,29.464008101843,16.753516531245634,46.48177352005033,46.663864771340975,18.721014648006037,19.545717437478014,10.394852637543892
182,91.0,22.78250401398807,29.751545970968504,32.26907369086427,29.464008101843,16.753516531245634,46.48177352005033,46.663864771340975,18.721014648006037,19.545717437478014,10.405760142934808
183,91.5,22.78250401398807,29.751545970968504,32.26907369086427,29.464008101843,16.753516531245634,46.48177352005033,46.663864771340975,18.721014648006037,19.545717437478014,10.416667648325726
184,92.0,22.78250401398807,29.751545970968504,32.26907369086427,29.464008101843,16.753516531245634,46.48177352005033,46.663864771340975,18.721014648006037,19.545717437478014,10.416667648325726
185,92.5,22.78250401398807,29.751545970968504,32.26907369086427,29.464008101843,16.753516531245634,46.48177352005033,46.663864771340975,18.721014648006037,19.545717437478014,10.427575153716642
186,93.0,22.78250401398807,29.751545970968504,32.26907369086427,29.464008101843,16.753516531245634,46.48177352005033,46.663864771340975,18.721014648006037,19.545717437478014,10.427575153716642
187,93.5,22.78250401398807,29.751545970968504,32.26907369086427,29.464008101843,16.753516531245634,46.48177352005033,46.663864771340975,18.721014648006037,19.545717437478014,10.43848265910756
188,94.0,22.78250401398807,29.751545970968504,32.26907369086427,29.464008101843,16.753516531245634,46.48177352005033,46.663864771340975,18.739943884252757,19.545717437478014,10.43848265910756
189,94.5,22.78250401398807,29.751545970968504,32.26907369086427,29.464008101843,16.753516531245634,46.48177352005033,46.663864771340975,18.739943884252757,19.545717437478014,10.449390164498476
190,95.0,22.78250401398807,29.751545970968504,32.26907369086427,29.464008101843,16.753516531245634,46.48177352005033,46.663864771340975,18.739943884252757,19.545717437478014,10.449390164498476
191,95.5,22.78250401398807,29.751545970968504,32.26907369086427,29.464008101843,16.753516531245634,46.48177352005033,46.663864771340975,18.739943884252757,19.545717437478014,10.460297669889393
192,96.0,22.78250401398807,29.751545970968504,32.26907369086427,29.464008101843,16.753516531245634,46.48177352005033,46.663864771340975,18.739943884252757,19.545717437478014,10.460297669889393
193,96.5,22.78250401398807,29.751545970968504,32.26907369086427,29.464008101843,16.753516531245634,46.48177352005033,46.663864771340975,18.739943884252757,19.545717437478014,10.47120517528031
194,97.0,22.78250401398807,29.751545970968504,32.26907369086427,29.464008101843,16.753516531245634,46.48177352005033,46.663864771340975,18.739943884252757,19.545717437478014,10.47120517528031
195,97.5,22.78250401398807,29.751545970968504,32.26907369086427,29.464008101843,16.753516531245634,46.48177352005033,46.663864771340975,18.739943884252757,19.545717437478014,10.482112680671229
